ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Sanitation,2020,50.49965,19658673.59393,At least basic
AFG,Afghanistan,rural,Sanitation,2020,44.7967,12900038.36573,At least basic
AFG,Afghanistan,urban,Sanitation,2020,66.7092,6758635.05736,At least basic
AFG,Afghanistan,total,Hygiene,2020,38.11505,14837556.27074,Basic service
AFG,Afghanistan,rural,Hygiene,2020,29.12944,8388362.54217,Basic service
AFG,Afghanistan,urban,Hygiene,2020,63.65494,6449193.05055,Basic service
AFG,Afghanistan,total,Drinking water,2020,47.50246,18491917.97321,Basic service
AFG,Afghanistan,rural,Drinking water,2020,41.83238,12046406.63439,Basic service
AFG,Afghanistan,urban,Drinking water,2020,63.61859,6445510.44781,Basic service
AFG,Afghanistan,total,Hygiene,2020,34.22538,13323373.54618,Limited service
AFG,Afghanistan,rural,Hygiene,2020,38.2024,11001089.08858,Limited service
AFG,Afghanistan,urban,Hygiene,2020,22.92145,2322283.74872,Limited service
AFG,Afghanistan,total,Sanitation,2020,10.9432,4260006.16127,Limited service
AFG,Afghanistan,rural,Sanitation,2020,7.24273,2085676.66223,Limited service
AFG,Afghanistan,urban,Sanitation,2020,21.4611,2174329.311,Limited service
AFG,Afghanistan,total,Drinking water,2020,1.44754,563503.94995,Limited service
AFG,Afghanistan,rural,Drinking water,2020,1.95682,563503.91711,Limited service
AFG,Afghanistan,urban,Drinking water,2020,0,0,Limited service
AFG,Afghanistan,total,Hygiene,2020,27.65957,10767410.23757,No handwashing facility
AFG,Afghanistan,rural,Hygiene,2020,32.66815,9407398.6889,No handwashing facility
AFG,Afghanistan,urban,Hygiene,2020,13.42362,1360012.21998,No handwashing facility
AFG,Afghanistan,total,Sanitation,2020,10.78376,4197939.30647,Open defecation
AFG,Afghanistan,rural,Sanitation,2020,14.57777,4197939.06131,Open defecation
AFG,Afghanistan,urban,Sanitation,2020,0,0,Open defecation
AFG,Afghanistan,total,Drinking water,2020,27.58896,10739922.68756,Safely managed service
AFG,Afghanistan,rural,Drinking water,2020,24.49554,7053943.61676,Safely managed service
AFG,Afghanistan,urban,Drinking water,2020,36.38141,3685978.55219,Safely managed service
AFG,Afghanistan,total,Drinking water,2020,8.90078,3464926.74735,Surface water
AFG,Afghanistan,rural,Drinking water,2020,12.03231,3464926.54444,Surface water
AFG,Afghanistan,urban,Drinking water,2020,0,0,Surface water
AFG,Afghanistan,total,Sanitation,2020,27.77339,10811720.30379,Unimproved
AFG,Afghanistan,rural,Sanitation,2020,33.3828,9613195.67403,Unimproved
AFG,Afghanistan,urban,Sanitation,2020,11.8297,1198525.01056,Unimproved
AFG,Afghanistan,total,Drinking water,2020,14.56026,5668068.63882,Unimproved
AFG,Afghanistan,rural,Drinking water,2020,19.68295,5668069.28471,Unimproved
AFG,Afghanistan,urban,Drinking water,2020,0,0,Unimproved
ALB,Albania,rural,Drinking water,2020,94.09135,1025916.52006,At least basic
ALB,Albania,urban,Drinking water,2020,95.66381,1709951.4903,At least basic
ALB,Albania,total,Sanitation,2020,51.60771,1485166.70773,Basic service
ALB,Albania,rural,Sanitation,2020,45.67592,498023.25455,Basic service
ALB,Albania,urban,Sanitation,2020,55.22607,987143.45561,Basic service
ALB,Albania,total,Drinking water,2020,24.3935,701996.18415,Basic service
ALB,Albania,total,Sanitation,2020,0.57195,16459.61601,Limited service
ALB,Albania,rural,Sanitation,2020,0.71872,7836.50348,Limited service
ALB,Albania,urban,Sanitation,2020,0.48242,8623.11247,Limited service
ALB,Albania,total,Drinking water,2020,1.88466,54236.63302,Limited service
ALB,Albania,rural,Drinking water,2020,2.30526,25135.24666,Limited service
ALB,Albania,urban,Drinking water,2020,1.62809,29101.3862,Limited service
ALB,Albania,total,Sanitation,2020,0,0,Open defecation
ALB,Albania,rural,Sanitation,2020,0,0,Open defecation
ALB,Albania,urban,Sanitation,2020,0,0,Open defecation
ALB,Albania,total,Sanitation,2020,47.69108,1372453.96125,Safely managed service
ALB,Albania,rural,Sanitation,2020,53.60536,584481.14199,Safely managed service
ALB,Albania,urban,Sanitation,2020,44.0834,787972.8171,Safely managed service
ALB,Albania,total,Drinking water,2020,70.67454,2033871.83701,Safely managed service
ALB,Albania,total,Drinking water,2020,0,0,Surface water
ALB,Albania,rural,Drinking water,2020,0,0,Surface water
ALB,Albania,urban,Drinking water,2020,0,0,Surface water
ALB,Albania,total,Sanitation,2020,0.12926,3719.71478,Unimproved
ALB,Albania,rural,Sanitation,2020,0,0,Unimproved
ALB,Albania,urban,Sanitation,2020,0.2081,3719.71483,Unimproved
ALB,Albania,total,Drinking water,2020,3.04731,87695.34562,Unimproved
ALB,Albania,rural,Drinking water,2020,3.60338,39289.09306,Unimproved
ALB,Albania,urban,Drinking water,2020,2.7081,48406.25235,Unimproved
AND,Andorra,rural,Drinking water,2020,100,9336.7031,At least basic
AND,Andorra,urban,Drinking water,2020,100,67928.297,At least basic
AND,Andorra,total,Sanitation,2020,0,0,Basic service
AND,Andorra,rural,Sanitation,2020,0,0,Basic service
AND,Andorra,urban,Sanitation,2020,0,0,Basic service
AND,Andorra,total,Drinking water,2020,9.36,7232.00427,Basic service
AND,Andorra,total,Sanitation,2020,0,0,Limited service
AND,Andorra,rural,Sanitation,2020,0,0,Limited service
AND,Andorra,urban,Sanitation,2020,0,0,Limited service
AND,Andorra,total,Drinking water,2020,0,0,Limited service
AND,Andorra,rural,Drinking water,2020,0,0,Limited service
AND,Andorra,urban,Drinking water,2020,0,0,Limited service
AND,Andorra,total,Sanitation,2020,0,0,Open defecation
AND,Andorra,rural,Sanitation,2020,0,0,Open defecation
AND,Andorra,urban,Sanitation,2020,0,0,Open defecation
AND,Andorra,total,Sanitation,2020,100,77265.00286,Safely managed service
AND,Andorra,rural,Sanitation,2020,100,9336.7031,Safely managed service
AND,Andorra,urban,Sanitation,2020,100,67928.297,Safely managed service
AND,Andorra,total,Drinking water,2020,90.64,70032.9986,Safely managed service
AND,Andorra,total,Drinking water,2020,0,0,Surface water
AND,Andorra,rural,Drinking water,2020,0,0,Surface water
AND,Andorra,urban,Drinking water,2020,0,0,Surface water
AND,Andorra,total,Sanitation,2020,0,0,Unimproved
AND,Andorra,rural,Sanitation,2020,0,0,Unimproved
AND,Andorra,urban,Sanitation,2020,0,0,Unimproved
AND,Andorra,total,Drinking water,2020,0,0,Unimproved
AND,Andorra,rural,Drinking water,2020,0,0,Unimproved
AND,Andorra,urban,Drinking water,2020,0,0,Unimproved
ARG,Argentina,urban,Drinking water,2020,99.79042,41543031.47982,At least basic
ARG,Argentina,urban,Sanitation,2020,51.62742,21492640.20633,Basic service
ARG,Argentina,urban,Sanitation,2020,1.24901,519965.1159,Limited service
ARG,Argentina,urban,Drinking water,2020,0,0,Limited service
ARG,Argentina,urban,Sanitation,2020,0,0,Open defecation
ARG,Argentina,urban,Sanitation,2020,47.12357,19617674.67819,Safely managed service
ARG,Argentina,urban,Drinking water,2020,0,0,Surface water
ARG,Argentina,urban,Sanitation,2020,0,0,Unimproved
ARG,Argentina,urban,Drinking water,2020,0.20958,87248.47023,Unimproved
AUS,Australia,total,Drinking water,2020,99.96981,25492181.71118,At least basic
AUS,Australia,rural,Drinking water,2020,100,3508528.3,At least basic
AUS,Australia,total,Sanitation,2020,25.73166,6561541.90436,Basic service
AUS,Australia,urban,Drinking water,2020,1.00126,220191.18963,Basic service
AUS,Australia,total,Sanitation,2020,0,0,Limited service
AUS,Australia,total,Drinking water,2020,0,0,Limited service
AUS,Australia,rural,Drinking water,2020,0,0,Limited service
AUS,Australia,urban,Drinking water,2020,0,0,Limited service
AUS,Australia,total,Sanitation,2020,0,0,Open defecation
AUS,Australia,total,Sanitation,2020,74.25949,18936081.96316,Safely managed service
AUS,Australia,urban,Drinking water,2020,98.96374,21763463.83739,Safely managed service
AUS,Australia,total,Drinking water,2020,0,0,Surface water
AUS,Australia,rural,Drinking water,2020,0,0,Surface water
AUS,Australia,urban,Drinking water,2020,0,0,Surface water
AUS,Australia,total,Sanitation,2020,0.00885,2256.13197,Unimproved
AUS,Australia,total,Drinking water,2020,0.03019,7697.94942,Unimproved
AUS,Australia,rural,Drinking water,2020,0,0,Unimproved
AUS,Australia,urban,Drinking water,2020,0.035,7696.9732,Unimproved
AUT,Austria,rural,Drinking water,2020,100,3715320,At least basic
AUT,Austria,urban,Drinking water,2020,100,5291080,At least basic
AUT,Austria,total,Sanitation,2020,0.33008,29728.30098,Basic service
AUT,Austria,rural,Sanitation,2020,0.80015,29728.29976,Basic service
AUT,Austria,urban,Sanitation,2020,0,0,Basic service
AUT,Austria,total,Drinking water,2020,1.09936,99012.57873,Basic service
AUT,Austria,total,Sanitation,2020,0,0,Limited service
AUT,Austria,rural,Sanitation,2020,0,0,Limited service
AUT,Austria,urban,Sanitation,2020,0,0,Limited service
AUT,Austria,total,Drinking water,2020,0,0,Limited service
AUT,Austria,rural,Drinking water,2020,0,0,Limited service
AUT,Austria,urban,Drinking water,2020,0,0,Limited service
AUT,Austria,total,Sanitation,2020,0,0,Open defecation
AUT,Austria,rural,Sanitation,2020,0,0,Open defecation
AUT,Austria,urban,Sanitation,2020,0,0,Open defecation
AUT,Austria,total,Sanitation,2020,99.64252,8974204.36349,Safely managed service
AUT,Austria,rural,Sanitation,2020,99.19985,3685591.7002,Safely managed service
AUT,Austria,urban,Sanitation,2020,99.95337,5288612.6641,Safely managed service
AUT,Austria,total,Drinking water,2020,98.90064,8907387.42109,Safely managed service
AUT,Austria,total,Drinking water,2020,0,0,Surface water
AUT,Austria,rural,Drinking water,2020,0,0,Surface water
AUT,Austria,urban,Drinking water,2020,0,0,Surface water
AUT,Austria,total,Sanitation,2020,0.0274,2467.33561,Unimproved
AUT,Austria,rural,Sanitation,2020,0,0,Unimproved
AUT,Austria,urban,Sanitation,2020,0.04663,2467.33568,Unimproved
AUT,Austria,total,Drinking water,2020,0,0,Unimproved
AUT,Austria,rural,Drinking water,2020,0,0,Unimproved
AUT,Austria,urban,Drinking water,2020,0,0,Unimproved
BEL,Belgium,rural,Sanitation,2020,99.48793,221496.24697,At least basic
BEL,Belgium,urban,Sanitation,2020,99.48612,11308567.60529,At least basic
BEL,Belgium,rural,Drinking water,2020,100,222636.3,At least basic
BEL,Belgium,urban,Drinking water,2020,100,11366980,At least basic
BEL,Belgium,total,Sanitation,2020,10.66545,1236084.28129,Basic service
BEL,Belgium,total,Drinking water,2020,0.08619,9988.85963,Basic service
BEL,Belgium,total,Sanitation,2020,0.51371,59537.51007,Limited service
BEL,Belgium,rural,Sanitation,2020,0.50553,1125.48903,Limited service
BEL,Belgium,urban,Sanitation,2020,0.51387,58412.02471,Limited service
BEL,Belgium,total,Drinking water,2020,0,0,Limited service
BEL,Belgium,rural,Drinking water,2020,0,0,Limited service
BEL,Belgium,urban,Drinking water,2020,0,0,Limited service
BEL,Belgium,total,Sanitation,2020,0,0,Open defecation
BEL,Belgium,rural,Sanitation,2020,0,0,Open defecation
BEL,Belgium,urban,Sanitation,2020,0,0,Open defecation
BEL,Belgium,total,Sanitation,2020,88.82071,10293979.22675,Safely managed service
